Id;Title;PosterPath;Popularity;VoteCount
"146";"Crouching Tiger, Hidden Dragon";"https://image.tmdb.org/t/p/w500/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg";"6,4649";"3325"
"147";"The 400 Blows";"https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg";"2,1922";"2211"
"149";"Akira";"https://image.tmdb.org/t/p/w500/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg";"8,3108";"4451"
"152";"Star Trek: The Motion Picture";"https://image.tmdb.org/t/p/w500/wfiAfNwH6CMKxz4vRaW8CPTabtk.jpg";"3,691";"1798"
"153";"Lost in Translation";"https://image.tmdb.org/t/p/w500/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg";"6,4428";"7606"
"155";"The Dark Knight";"https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg";"27,2452";"34082"
"158";"Knockin' on Heaven's Door";"https://image.tmdb.org/t/p/w500/dsY09zCxKDFjfV1oqXFJJpVrHdP.jpg";"2,3764";"539"
"162";"Edward Scissorhands";"https://image.tmdb.org/t/p/w500/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg";"7,7082";"13220"
"164";"Breakfast at Tiffany's";"https://image.tmdb.org/t/p/w500/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg";"4,3818";"4287"
"165";"Back to the Future Part II";"https://image.tmdb.org/t/p/w500/YBawEsTkUZBDajKbd5LiHkmMGf.jpg";"7,056";"13253"
"167";"K-PAX";"https://image.tmdb.org/t/p/w500/tafXZX0I6rso7EyoEzfygfTqxq6.jpg";"3,874";"2522"
"168";"Star Trek IV: The Voyage Home";"https://image.tmdb.org/t/p/w500/xY5TzGXJOB3L9rhZ1MbbPyVlW5J.jpg";"2,6374";"1546"
"169";"Predator 2";"https://image.tmdb.org/t/p/w500/83X4VwY9sdSJykskmsplIVG0a4h.jpg";"5,8081";"3489"
"170";"28 Days Later";"https://image.tmdb.org/t/p/w500/sQckQRt17VaWbo39GIu0TMOiszq.jpg";"26,4428";"7554"
"172";"Star Trek V: The Final Frontier";"https://image.tmdb.org/t/p/w500/uiXr41VLYsuug3CZbFrKLSNahuZ.jpg";"2,3373";"1222"
"173";"20,000 Leagues Under the Sea";"https://image.tmdb.org/t/p/w500/heAEH85fdxEgV98LizHbQCL95iZ.jpg";"2,5506";"921"
